42.76,-74.45,0
35.26,-83.63,0
37.99,-80.35,0
37.63,-80.66,0
34.87,-84.1,0
44.41,-74.09,0
39.63,-78.74,1
39.64,-78.76,1
34.68,-84.62,0
44.57,-73.23,2
33.73,-85.87,0
39.65,-78.75,1
39.56,-78.8,1
37.68,-80.65,0
34.54,-84.27,0
44.6,-73.21,2
44.37,-74.33,0
43.99,-74.47,0
44.55,-73.27,2
36.2,-83.06,0
44.36,-74.37,0
34.57,-84.18,0
41.42,-76.49,0
38.3,-79.73,0
38.31,-79.72,0
39.54,-78.81,1
39.57,-78.85,1
37.69,-80.72,0
44.63,-73.13,2
44.63,-73.12,2
39.49,-79.04,1
44.62,-73.13,2
34.48,-84.72,121
33.7,-86.54,0
37.63,-80.77,0
39.63,-78.6,1
34.67,-84.13,0
42.47,-74.44,0
42.06,-76.81,0
39.69,-78.5,1
39.68,-78.5,1
39.68,-78.46,1
39.64,-78.4,1
39.67,-78.37,1
39.65,-78.37,1
39.69,-78.43,1
39.7,-78.43,1
39.68,-78.38,1
39.68,-78.39,1
39.67,-78.35,1
44.95,-72.88,0
33.83,-86.26,0
36.48,-82.51,0
39.7,-78.39,1
39.7,-78.35,1
39.69,-78.33,1
39.71,-78.4,1
39.69,-78.35,1
39.63,-78.61,1
39.7,-78.33,1
39.71,-78.35,1
42.45,-74.47,0
39.73,-78.37,1
44.99,-72.81,0
39.71,-78.31,1
37.96,-80.21,0
40.87,-76.55,0
34.05,-85.85,0
35.23,-83.41,3
34.63,-83.99,0
35.18,-83.38,3
30.76,-89.86,0
39.87,-77.69,0
33.74,-85.29,0
39.69,-77.99,4
39.67,-77.99,4
34.89,-83.8,0
41.82,-76.73,0
38.13,-79.92,0
39.79,-78.08,4
38.94,-78.89,0
35.11,-83.38,3
39.83,-77.9,4
34.37,-84.06,0
43.1,-75.81,5
33.69,-84.16,0
30.89,-88.28,0
44.95,-72.31,0
44.67,-73.01,2
35.18,-83.26,3
43.12,-75.67,5
44.05,-73.46,0
44.65,-72.89,2
41.78,-76.77,0
43.14,-74.14,45
44.59,-72.62,2
44.64,-72.68,2
38.4,-79.61,0
39.86,-77.67,0
35.06,-83.42,3
44.58,-72.6,2
44.63,-72.66,2
44.56,-72.6,2
40.49,-76.93,0
44.96,-72.13,0
33.6,-83.9,0
32.61,-83.61,0
40.1,-77.4,0
38.57,-79.28,0
34.84,-82.31,6
37.41,-81.45,0
36.1,-81.64,7
44.18,-72.84,8
39.4,-78.01,4
39.4,-78.02,4
36.13,-81.67,7
35.68,-82.01,0
44.16,-72.84,8
40.81,-75.93,0
44.25,-72.79,8
40.8,-76.41,0
39.39,-77.89,4
33.04,-83.38,0
40.86,-76.24,0
40.83,-75.87,0
39.04,-82.81,0
35.98,-81.75,7
34.09,-83.78,0
30.28,-89.84,0
44.05,-73.51,0
36.94,-81.15,11
34.86,-82.42,6
36.21,-81.61,7
43.15,-75.88,0
44.33,-72.17,9
44.2,-72.55,8
34.47,-83.78,0
34.89,-82.43,6
35.11,-82.23,6
34.68,-82.81,10
36.98,-80.96,11
44.15,-73.15,81
44.17,-72.69,8
35.89,-81.52,7
44.44,-72.12,9
44.19,-72.68,8
30.12,-89.88,0
44.42,-72.01,9
44.39,-72.0,9
44.41,-72.01,9
44.49,-71.57,12
44.39,-71.98,9
44.41,-72.02,9
44.43,-72.02,9
44.38,-72.03,9
36.73,-80.82,11
37.19,-80.74,11
36.72,-80.83,11
44.38,-71.95,9
41.02,-76.0,0
35.94,-81.5,7
44.2,-72.51,8
44.41,-72.13,9
36.93,-80.48,13
44.42,-71.7,12
37.34,-80.68,11
40.68,-76.27,0
37.06,-80.37,13
44.31,-72.14,9
37.09,-80.39,13
36.59,-81.13,11
44.33,-72.04,9
36.92,-80.91,11
37.14,-80.35,13
34.55,-82.09,6
33.09,-82.01,0
33.09,-82.05,0
40.78,-75.54,0
32.6,-82.97,0
40.57,-75.1,0
32.67,-82.75,0
32.19,-82.54,0
41.3,-75.33,0
44.64,-70.75,0
33.53,-81.73,0
41.77,-74.67,0
41.32,-75.31,0
33.29,-82.11,14
37.78,-79.91,0
36.57,-80.78,11
33.3,-82.11,14
36.12,-80.78,0
36.75,-80.39,15
36.57,-80.17,15
34.19,-79.88,0
35.99,-78.91,0
36.13,-78.76,0
34.74,-80.35,0
36.31,-78.59,0
36.31,-78.52,0
35.9,-78.9,0
33.21,-81.35,0
36.39,-78.39,0
36.91,-94.01,0
36.63,-94.16,0
35.21,-78.98,16
34.54,-79.29,0
35.22,-79.01,16
35.59,-78.79,0
36.65,-93.77,0
34.81,-79.08,0
31.1,-84.16,0
32.91,-80.67,0
34.63,-79.03,0
36.72,-93.42,0
39.61,-78.96,1
39.65,-78.91,1
31.92,-81.3,0
31.18,-83.96,0
29.67,-81.48,0
31.17,-83.78,0
30.41,-81.71,17
29.91,-81.49,0
30.44,-81.72,17
30.44,-81.7,17
35.42,-80.65,18
29.96,-81.47,0
35.51,-80.67,18
30.1,-81.44,0
35.55,-80.61,18
35.67,-80.57,18
32.71,-83.0,0
40.26,-78.08,0
40.31,-78.08,0
32.53,-82.89,0
28.34,-81.39,21
44.41,-72.31,9
32.87,-82.67,0
39.72,-78.63,1
42.02,-76.06,19
43.9,-73.31,0
45.88,-69.13,0
42.07,-76.04,19
42.08,-76.03,19
45.07,-69.92,20
44.46,-71.68,12
44.37,-72.55,8
45.05,-69.86,20
43.65,-72.42,0
45.02,-69.86,20
44.4,-71.23,0
45.05,-69.87,20
44.38,-71.28,0
42.75,-74.96,42
44.09,-72.28,0
42.8,-74.77,42
45.17,-69.39,0
42.93,-74.63,42
42.86,-74.63,42
44.78,-70.92,0
44.38,-71.58,12
44.27,-71.54,12
28.45,-81.4,21
42.88,-75.4,76
44.67,-70.59,0
42.6,-75.34,0
42.62,-75.32,0
42.68,-75.3,0
34.14,-80.49,0
37.8,-98.54,22
37.83,-98.72,22
37.92,-96.86,0
37.81,-98.56,22
37.76,-93.09,0
37.18,-92.53,0
37.16,-92.58,0
37.83,-90.78,104
39.41,-92.21,0
39.35,-91.66,0
43.45,-74.01,0
43.53,-73.91,0
39.34,-91.2,0
48.79,-95.08,0
39.44,-91.1,0
43.53,-73.85,0
39.31,-90.86,0
39.29,-90.55,0
43.79,-73.49,0
39.3,-90.41,0
39.24,-90.22,0
39.22,-90.17,0
39.71,-90.2,23
39.73,-90.19,23
39.25,-90.06,0
39.29,-89.97,0
39.19,-89.89,0
44.54,-94.56,0
44.57,-94.36,0
39.76,-89.7,24
39.82,-89.68,24
39.83,-89.63,24
39.2,-89.54,0
40.82,-90.7,0
39.16,-89.49,0
40.79,-90.78,0
39.85,-89.57,24
39.21,-89.41,0
47.59,-91.66,0
39.28,-89.12,0
39.9,-89.94,0
43.5,-73.77,0
44.57,-93.84,25
39.33,-88.86,0
44.66,-93.79,25
47.37,-91.27,0
44.68,-93.38,26
44.55,-93.68,25
44.71,-93.46,26
47.34,-91.2,0
44.72,-93.41,26
39.39,-88.46,0
44.64,-93.29,26
44.71,-93.28,26
44.73,-93.32,26
44.7,-93.21,26
44.74,-93.27,26
39.38,-88.21,0
44.69,-93.22,26
39.47,-88.18,0
44.76,-93.03,26
39.54,-87.74,0
34.34,-79.43,0
39.57,-87.46,0
34.34,-79.48,0
34.34,-79.44,0
46.39,-92.78,0
40.28,-86.51,0
46.44,-92.75,0
46.43,-92.73,0
39.98,-86.47,0
28.71,-81.55,0
46.62,-92.4,27
46.66,-92.42,27
46.66,-92.23,27
40.65,-85.69,0
38.84,-104.1,0
38.89,-104.05,0
38.85,-103.81,128
38.9,-103.63,128
39.03,-104.37,0
41.24,-94.2,0
41.23,-94.19,0
41.57,-93.4,79
40.52,-94.61,0
41.31,-96.05,0
41.6,-92.55,0
40.96,-92.64,0
41.1,-92.21,0
40.61,-91.78,0
40.39,-92.26,0
40.96,-90.37,0
40.64,-91.16,0
41.18,-88.58,0
42.7,-90.67,0
41.63,-84.98,0
38.34,-99.58,28
38.47,-99.51,28
38.47,-99.53,28
41.43,-80.2,0
38.7,-99.32,0
44.41,-85.4,0
39.43,-98.43,0
39.41,-98.55,0
39.36,-98.55,0
39.27,-98.55,0
41.48,-80.44,0
39.68,-98.36,0
41.5,-80.45,0
40.39,-98.39,0
40.19,-97.08,0
42.14,-98.67,0
42.21,-98.57,29
42.33,-98.46,29
42.46,-97.47,0
43.51,-96.69,0
42.78,-98.54,0
42.77,-98.55,0
42.84,-97.85,0
43.58,-96.57,0
43.65,-96.58,0
43.22,-97.76,0
44.42,-98.47,0
44.82,-97.94,0
44.51,-96.43,0
45.33,-97.31,0
44.69,-95.62,0
45.79,-92.23,0
45.83,-92.05,0
44.53,-93.91,25
44.9,-93.28,26
44.87,-93.31,26
44.9,-93.29,26
45.03,-93.15,26
45.06,-93.07,26
45.07,-93.01,26
44.76,-93.63,26
44.97,-93.28,26
45.33,-92.52,0
45.39,-92.22,0
45.59,-92.1,0
46.17,-90.98,0
40.09,-104.71,0
40.08,-104.68,0
40.47,-104.92,30
40.11,-104.5,0
41.79,-100.05,31
41.88,-100.04,31
41.92,-100.05,31
39.99,-104.36,0
42.58,-99.42,32
40.05,-104.21,0
42.17,-99.7,0
42.17,-99.53,0
39.99,-104.13,0
42.32,-99.35,0
42.47,-99.06,33
42.96,-99.08,34
42.21,-99.53,0
42.58,-99.11,33
42.56,-98.93,33
42.52,-98.92,33
41.83,-100.05,31
41.21,-102.14,0
41.94,-99.98,31
41.91,-99.87,31
43.04,-98.46,0
42.52,-98.99,33
41.42,-100.0,35
43.26,-98.44,0
41.14,-100.09,36
41.77,-99.69,0
40.98,-100.08,36
40.94,-100.06,36
43.31,-98.22,0
43.78,-97.75,0
40.92,-99.9,36
42.91,-98.35,0
43.07,-98.19,0
43.72,-97.51,0
44.93,-97.17,0
41.19,-98.98,0
45.93,-95.55,0
40.62,-98.06,0
39.01,-98.39,37
34.33,-100.38,0
34.41,-100.2,0
33.64,-101.15,0
34.46,-98.01,0
40.72,-91.92,0
40.01,-92.21,0
38.98,-92.56,0
38.1,-92.78,38
38.89,-92.26,39
38.8,-92.14,39
38.72,-92.19,39
41.85,-88.31,65
41.93,-88.14,65
43.62,-84.45,0
45.0,-84.18,0
43.66,-84.35,0
43.44,-84.65,0
43.66,-84.31,0
42.74,-84.07,0
43.72,-84.3,0
43.77,-84.13,0
32.95,-103.3,40
32.95,-103.13,40
33.62,-103.01,0
32.88,-103.13,40
30.58,-104.45,0
30.59,-104.5,0
30.31,-104.28,0
32.88,-103.16,40
33.65,-102.77,0
32.87,-103.02,40
32.82,-103.07,40
33.99,-103.49,41
33.94,-103.3,0
30.02,-104.66,0
46.04,-118.71,0
46.01,-118.72,0
34.82,-102.66,0
33.04,-104.11,0
34.83,-102.78,0
34.06,-103.48,41
33.83,-103.72,0
34.16,-103.35,41
34.21,-103.43,41
34.22,-103.48,41
35.55,-101.05,0
34.26,-100.87,0
42.69,-75.57,0
43.22,-74.33,45
42.83,-74.88,42
44.46,-73.18,2
42.95,-74.37,45
43.04,-73.93,43
44.21,-72.1,9
44.99,-71.54,0
43.02,-71.16,44
42.87,-71.18,44
42.84,-71.35,44
43.18,-70.89,0
43.33,-70.57,0
44.11,-70.52,48
43.33,-70.56,0
43.53,-70.39,48
43.34,-70.55,0
43.07,-74.33,45
43.02,-73.85,43
43.09,-74.04,43
43.09,-73.76,43
43.05,-73.64,43
43.01,-74.37,45
42.9,-73.35,43
41.81,-74.89,0
43.07,-73.15,0
43.01,-73.73,43
42.94,-72.86,46
42.99,-73.55,43
43.01,-74.19,45
42.95,-72.77,46
44.43,-71.51,12
28.91,-82.6,0
43.01,-73.38,43
42.94,-73.4,43
43.86,-71.64,0
42.6,-73.24,0
42.45,-73.24,78
44.47,-71.19,0
46.25,-69.31,0
44.78,-71.14,0
43.0,-73.17,0
43.84,-71.39,0
40.67,-75.31,0
42.86,-72.57,46
42.95,-72.3,0
44.97,-70.64,0
44.35,-70.63,0
44.4,-70.85,0
42.44,-73.12,0
44.4,-70.79,0
42.99,-72.66,46
42.24,-72.88,0
42.48,-72.99,0
42.33,-72.64,0
44.96,-70.15,0
35.38,-105.11,0
39.42,-96.46,47
44.41,-70.18,0
39.4,-96.45,47
39.36,-96.37,47
44.44,-70.32,0
41.7,-74.98,0
42.86,-72.72,46
39.4,-96.35,47
39.42,-96.33,47
36.78,-104.49,0
44.03,-70.39,48
39.4,-96.26,47
44.06,-70.39,48
40.3,-74.93,0
39.35,-96.26,47
42.15,-72.61,49
44.03,-70.33,48
39.39,-96.23,47
39.3,-96.24,47
39.4,-96.18,47
39.32,-96.2,47
39.38,-96.15,47
39.41,-96.15,47
44.08,-70.19,48
35.0,-82.67,0
39.37,-96.04,47
39.3,-96.06,47
39.3,-96.09,47
39.32,-96.06,47
35.22,-82.99,0
39.32,-96.07,47
39.31,-96.06,47
38.5,-78.28,0
39.71,-96.42,0
39.33,-95.99,47
38.66,-95.84,0
35.09,-83.16,3
42.87,-72.87,46
40.48,-74.29,0
39.3,-95.94,47
37.98,-103.49,0
39.59,-99.87,50
40.66,-100.14,36
36.36,-104.6,0
34.76,-83.6,0
39.84,-99.82,50
39.32,-95.88,47
42.11,-72.08,0
45.08,-70.21,0
42.15,-71.76,0
38.43,-77.41,0
40.66,-100.01,36
36.36,-104.59,0
39.26,-95.76,47
38.07,-103.37,0
40.71,-99.99,36
39.55,-99.62,0
42.24,-71.99,0
39.3,-95.7,0
40.12,-99.69,0
42.19,-71.76,0
41.35,-71.97,0
39.59,-99.57,0
42.82,-72.57,46
42.14,-71.4,0
40.18,-99.63,0
39.35,-99.27,0
36.9,-103.86,0
35.54,-104.69,0
38.35,-94.74,0
38.96,-76.91,51
40.86,-99.99,36
39.66,-95.93,0
39.16,-98.69,0
40.83,-99.92,36
39.44,-99.27,0
38.22,-77.97,0
39.23,-95.35,0
42.07,-73.95,52
40.85,-99.99,36
