41.49,-100.11,3
40.44,-101.11,1
35.8,-85.47,None
39.69,-104.94,2
39.06,-96.75,None
40.96,-101.0,None
35.45,-84.34,None
40.41,-102.25,None
41.02,-100.77,None
40.33,-102.09,None
40.39,-102.08,None
39.24,-96.59,None
40.97,-100.77,None
40.69,-95.78,None
40.68,-95.04,None
40.54,-101.21,1
40.55,-101.37,1
41.5,-99.52,None
40.5,-100.82,1
40.63,-101.37,1
40.29,-99.77,5
41.64,-99.37,None
40.63,-100.86,1
40.51,-100.98,1
40.33,-99.67,5
40.52,-101.64,1
40.35,-99.39,9
40.69,-100.79,1
40.43,-99.4,9
40.75,-95.64,None
40.69,-100.45,1
40.5,-100.49,1
40.39,-100.86,1
41.35,-100.1,3
40.49,-100.51,1
40.57,-100.43,1
40.38,-100.85,1
34.5,-82.29,4
40.6,-92.02,None
34.99,-78.19,None
35.0,-78.09,None
41.66,-93.77,None
40.6,-99.93,5
38.77,-86.69,None
40.46,-99.85,5
40.43,-99.85,5
38.74,-86.48,None
41.58,-98.66,None
41.27,-96.14,None
41.31,-97.49,None
40.7,-99.14,9
41.22,-97.46,None
41.34,-97.24,None
41.39,-94.49,None
41.5,-94.28,None
39.59,-86.11,6
38.34,-102.78,None
39.83,-86.13,6
38.77,-101.59,None
38.96,-101.18,None
39.19,-100.65,7
39.28,-100.44,7
38.74,-102.12,None
37.46,-102.04,None
39.73,-86.38,6
38.16,-102.0,None
38.0,-101.85,None
38.05,-102.01,None
39.71,-86.13,6
38.0,-101.83,None
37.61,-101.76,None
37.59,-101.7,None
37.78,-101.39,None
38.1,-101.36,None
40.02,-101.54,1
40.04,-99.58,None
38.72,-97.8,None
39.0,-97.72,8
40.71,-99.56,9
39.03,-97.65,8
40.7,-99.57,9
39.09,-97.64,8
39.0,-97.61,8
41.19,-101.18,None
39.22,-97.57,8
39.21,-97.52,8
39.3,-97.51,8
39.29,-97.51,8
39.31,-97.5,8
39.43,-97.4,8
40.82,-98.92,None
40.86,-99.37,9
40.85,-98.97,None
39.34,-97.46,8
37.77,-97.46,10
38.57,-97.43,None
38.36,-97.43,None
39.76,-97.3,8
39.81,-97.3,8
40.73,-98.0,11
39.84,-97.19,8
39.79,-97.32,8
40.83,-98.0,11
39.35,-97.46,8
33.27,-98.99,None
40.86,-97.78,11
39.31,-97.34,8
40.89,-97.77,11
39.3,-97.38,8
39.3,-97.37,8
39.33,-97.39,8
39.56,-97.41,8
36.9,-97.73,None
37.72,-97.44,10
40.09,-97.11,None
37.64,-97.47,10
37.74,-97.46,10
37.64,-97.41,10
34.18,-98.32,None
37.65,-97.39,10
37.04,-97.63,None
37.96,-97.3,None
33.34,-98.73,None
33.04,-99.05,None
33.32,-98.64,None
33.08,-98.9,None
34.57,-97.99,None
39.42,-96.76,None
36.56,-97.66,None
37.39,-97.04,12
34.35,-98.2,None
41.47,-97.6,None
37.69,-97.01,None
37.56,-97.06,None
37.24,-96.97,12
41.54,-97.53,None
37.24,-96.96,12
37.59,-96.78,None
37.6,-96.78,None
37.31,-96.77,12
36.39,-97.58,None
41.78,-97.46,None
37.41,-96.77,None
34.58,-97.35,None
37.82,-96.47,None
32.96,-98.77,None
37.7,-96.41,None
35.51,-97.6,13
35.57,-97.53,13
33.17,-97.88,None
35.38,-97.55,13
38.4,-96.09,None
35.81,-97.42,None
37.81,-95.51,None
35.87,-97.01,None
33.24,-97.3,14
36.13,-96.35,None
32.9,-97.73,14
32.94,-97.53,14
32.97,-97.63,14
32.97,-97.53,14
42.04,-94.03,None
36.11,-95.89,27
33.06,-97.32,14
33.24,-97.34,14
32.97,-97.28,14
33.2,-97.17,14
33.09,-97.12,14
33.06,-97.11,14
32.86,-96.89,None
36.82,-79.21,None
35.51,-82.61,None
35.56,-82.6,None
34.93,-83.41,None
35.28,-82.82,None
36.22,-81.51,15
37.93,-90.85,16
37.94,-90.79,16
35.86,-81.99,None
36.84,-80.88,90
36.43,-81.62,15
37.25,-79.94,17
43.06,-86.22,None
35.98,-81.44,15
42.83,-86.1,None
32.01,-94.34,None
37.18,-80.27,17
38.4,-82.58,None
40.54,-84.16,84
38.88,-82.89,None
37.14,-80.32,17
37.21,-80.25,17
37.11,-79.82,17
43.22,-86.25,None
37.13,-79.85,17
42.17,-86.13,None
37.1,-79.85,17
35.07,-78.46,None
39.52,-77.97,None
38.31,-81.72,None
35.14,-78.94,19
40.84,-84.3,84
39.46,-77.94,None
37.2,-79.99,17
31.71,-94.18,None
42.09,-85.24,None
39.35,-83.01,None
37.05,-79.58,17
